len,pLDDT,novel,SHAPE,compact,motif,pct_left,nb_left
0,0,0,0,0,0,100.0,7757
0,0,0,1,0,0,58.3,4522
0,0,0,0,0,1,45.2,3506
0,0,0,0,1,0,44.5,3449
0,0,1,0,0,0,44.4,3445
0,0,0,1,0,1,33.6,2604
0,0,0,1,1,0,30.8,2389
0,0,0,0,1,1,28.5,2208
0,0,1,1,0,0,24.7,1919
0,1,0,0,0,0,23.7,1842
0,0,0,1,1,1,23.1,1789
0,0,1,0,0,1,22.0,1705
1,0,0,0,0,0,20.9,1625
1,0,0,1,0,0,18.4,1431
0,0,1,0,1,0,18.0,1398
1,0,0,0,1,0,16.5,1278
0,0,1,1,0,1,15.6,1213
1,0,0,0,0,1,15.6,1208
1,0,0,1,1,0,15.0,1161
1,0,0,1,0,1,14.2,1100
0,1,0,1,0,0,14.1,1093
1,0,0,0,1,1,13.7,1066
1,0,0,1,1,1,12.7,984
0,0,1,0,1,1,12.0,932
0,0,1,1,1,0,11.8,916
0,1,0,0,0,1,11.5,889
0,1,1,0,0,0,10.8,836
0,1,0,0,1,0,10.6,824
0,0,1,1,1,1,9.2,712
0,1,0,1,0,1,8.1,626
0,1,1,0,0,1,6.7,523
0,1,1,1,0,0,6.7,523
0,1,0,1,1,0,6.7,516
0,1,0,0,1,1,6.4,497
0,1,1,0,1,0,5.1,394
0,1,1,1,0,1,5.0,386
1,0,1,0,0,0,4.8,373
0,1,0,1,1,1,4.7,367
1,0,1,1,0,0,4.2,322
0,1,1,0,1,1,3.6,279
1,0,1,0,1,0,3.4,267
1,0,1,0,0,1,3.4,263
0,1,1,1,1,0,3.2,250
1,0,1,1,1,0,3.1,241
1,0,1,1,0,1,3.1,239
1,0,1,0,1,1,2.8,221
1,0,1,1,1,1,2.6,205
0,1,1,1,1,1,2.6,204
1,1,0,0,0,0,1.2,90
1,1,0,1,0,0,1.1,82
1,1,0,0,1,0,0.9,71
1,1,0,1,1,0,0.9,67
1,1,0,0,0,1,0.8,65
1,1,0,1,0,1,0.8,61
1,1,0,0,1,1,0.8,59
1,1,0,1,1,1,0.7,56
1,1,1,0,0,0,0.2,16
1,1,1,0,1,0,0.2,14
1,1,1,1,0,0,0.2,14
1,1,1,1,1,0,0.2,13
1,1,1,0,0,1,0.2,12
1,1,1,0,1,1,0.2,12
1,1,1,1,0,1,0.1,11
1,1,1,1,1,1,0.1,11
